   0.18906,   0.83042,   0
   0.70054,   0.70979,   1
   0.63842,   0.80694,   0
   0.53858,   0.80316,   0
   0.19707,   0.62871,   1
   0.72646,   0.63526,   0
   0.57121,   0.32914,   0
   0.32431,   0.35207,   1
   0.43674,   0.58097,   0
   0.15255,   0.35484,   0
   0.74471,   0.33052,   1
   0.48270,   0.38931,   1
   0.24601,   0.83445,   0
   0.53258,   0.61788,   1
   0.55007,   0.40289,   0
   0.58273,   0.59146,   1
   0.62436,   0.16867,   1
   0.75289,   0.30395,   0
   0.26012,   0.51888,   1
   0.20912,   0.35167,   0
   0.63711,   0.20742,   1
   0.76520,   0.49923,   1
   0.81426,   0.68481,   1
   0.13912,   0.53807,   1
   0.75013,   0.16931,   0
   0.79093,   0.68187,   1
   0.77007,   0.68264,   1
   0.18045,   0.65311,   1
   0.64871,   0.15473,   1
   0.19064,   0.50394,   1
   0.18568,   0.26785,   1
   0.68804,   0.47214,   1
   0.17168,   0.39634,   0
   0.53656,   0.58702,   1
   0.49141,   0.69449,   1
   0.58719,   0.63725,   1
   0.72512,   0.50946,   0
   0.15766,   0.56064,   1
   0.66528,   0.52699,   1
   0.51167,   0.70960,   0
   0.74172,   0.80385,   1
   0.80508,   0.49870,   1
   0.31618,   0.42570,   0
   0.61026,   0.15200,   1
   0.57979,   0.53433,   1
   0.70968,   0.59884,   0
   0.22933,   0.56421,   1
   0.51998,   0.28212,   1
   0.15952,   0.77309,   0
   0.68573,   0.51212,   0
   0.34089,   0.14513,   0
   0.22716,   0.62935,   1
   0.79776,   0.75200,   1
   0.32497,   0.83695,   1
   0.25144,   0.28142,   1
   0.41722,   0.73877,   1
   0.38352,   0.48449,   1
   0.18869,   0.64031,   1
   0.42106,   0.78260,   1
   0.72099,   0.60994,   0
   0.23173,   0.37340,   0
   0.39116,   0.18889,   0
   0.69454,   0.15877,   0
   0.38963,   0.14648,   0
   0.74953,   0.69351,   1
   0.16364,   0.65414,   1
   0.62324,   0.66950,   1
   0.51513,   0.22709,   1
   0.17290,   0.57365,   1
   0.24596,   0.79805,   0
   0.66499,   0.77735,   0
   0.80200,   0.71737,   1
   0.17682,   0.49282,   0
   0.81397,   0.71062,   1
   0.18702,   0.17141,   1
   0.84496,   0.71015,   1
   0.29650,   0.50694,   1
   0.38838,   0.77131,   1
   0.67854,   0.35940,   1
   0.84573,   0.63905,   0
   0.15956,   0.19802,   1
   0.42369,   0.35592,   1
   0.39540,   0.33985,   1
   0.67267,   0.46037,   0
   0.77127,   0.43882,   1
   0.73276,   0.84754,   1
   0.40093,   0.60790,   0
   0.37552,   0.74033,   1
   0.42859,   0.16882,   0
   0.29012,   0.57364,   1
   0.48502,   0.53568,   0
   0.40517,   0.82062,   1
   0.18135,   0.54563,   1
   0.46894,   0.55243,   0
   0.43041,   0.74515,   1
   0.36358,   0.19834,   0
   0.70293,   0.76324,   1
   0.56777,   0.62350,   1
   0.68697,   0.57184,   0
   0.81061,   0.28083,   0
   0.67983,   0.47997,   1
   0.75360,   0.30722,   0
   0.77378,   0.65184,   0
   0.34627,   0.25363,   0
   0.80224,   0.76107,   1
   0.57546,   0.42633,   0
   0.52371,   0.84784,   0
   0.68858,   0.82258,   1
   0.62842,   0.29454,   1
   0.25376,   0.25954,   1
   0.72104,   0.48096,   1
   0.40092,   0.66205,   0
   0.55448,   0.58937,   1
   0.37981,   0.44449,   1
   0.77215,   0.41340,   1
   0.51778,   0.82508,   0
   0.47358,   0.23391,   0
   0.54000,   0.72019,   0
   0.25329,   0.43929,   0
   0.21512,   0.64042,   1
   0.36232,   0.66446,   0
   0.23942,   0.58814,   1
   0.17841,   0.40465,   0
   0.70818,   0.77348,   1
   0.47112,   0.32109,   0
   0.31219,   0.67407,   1
   0.24158,   0.34603,   0
   0.72378,   0.49751,   1
   0.59325,   0.48787,   0
   0.60968,   0.58779,   1
   0.21114,   0.46164,   0
   0.42236,   0.61532,   0
   0.81363,   0.48252,   1
   0.42622,   0.63991,   0
   0.64506,   0.51251,   1
   0.40785,   0.36156,   1
   0.69946,   0.79497,   1
   0.68463,   0.21757,   0
   0.73715,   0.64772,   0
   0.22566,   0.39669,   0
   0.23701,   0.62744,   1
   0.26120,   0.77481,   0
   0.21767,   0.22480,   1
   0.64389,   0.26812,   1
   0.25726,   0.35331,   0
   0.72703,   0.45741,   1
   0.23456,   0.26848,   1
   0.20096,   0.47957,   0
   0.60827,   0.60591,   1
   0.57715,   0.33188,   0
   0.42809,   0.72631,   1
   0.48324,   0.14922,   0
